Year,Type,Department,Description,Amount
2022,Revenue,FINANCE,P/I - REAL ESTATE TAX,-253.33814
2022,Revenue,PS - ADMIN AND SUPPORT SERVICES,ALLEGHENY REGIONAL ASSET DISTR,-251.45163
2022,Revenue,CITY PLANNING,CITY COMMERCIAL SPACE,-246.99504
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET EXCAVATION-SIDEWALK OPE,-240.42913
2022,Revenue,PS - BUREAU OF ANIMAL CARE AND CONTROL,ANIMAL CARE AND CONTROL REVENU,-212.34125
2022,Revenue,OFFICE OF MANAGEMENT AND BUDGET,CDBG-CITY PLANNING,-190.91871
2022,Revenue,PS - ADMIN AND SUPPORT SERVICES,FIRE SAFETY,-162.89535
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,BUILDING INSPECTION REVENUE,-157.848
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,RESIDENTIAL-ELECTRIC,-156.4979
2022,Revenue,MOBILITY AND INFRASTRUCTURE,EXCAVATIONS,-143.97199
2022,Revenue,FINANCE,STATE POLICE,-137.29491
2022,Revenue,HUMAN RESOURCES/CIVIL SERVICE,JTPA/WIA,-130
2022,Revenue,PS - FIRE BUREAU,RESIDENTIAL- FIRE ALARM,-127.28129
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,OCCUPANCY APPLICATION,-125.34327
2022,Revenue,PS - POLICE BUREAU,POLICE RECORDS,-116.20304
2022,Revenue,CITY PLANNING,ZONING BOARD OF ADJUSTEMENTS,-114.16731
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,SIGN PERMIT,-107.0283
2022,Revenue,FINANCE,INVESTMENT EARNINGS,-101
2022,Revenue,FINANCE,WHARF PARKING,-99.76072
2022,Revenue,FINANCE,P/I- FACILITY USAGE FEE,-98.95243
2022,Revenue,FINANCE,MAGISTRATE OR ALDERMAN,-94.3035
2022,Revenue,PARKS AND RECREATION,ALLEGHENY REGIONAL ASSET DISTR,-90.79167
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,STATIONARY ENG LICENSE,-89.36029
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET EXCAVATION-CURB CUTS,-86.99592
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,RESIDENTIAL-HVAC,-85.81523
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,GENERAL CONTRACTOR,-83.92641
2022,Revenue,FINANCE,EMPLOYEE PARKING FEES,-78.36819
2022,Revenue,FINANCE,LIEN FILING,-75.98102
2022,Revenue,FINANCE,P/I- LOCAL SERVICE TAX,-75.9662
2022,Revenue,PW - BUREAU OF PW OPERATIONS,ALLEGHENY REGIONAL ASSET DISTR,-72.54263
2022,Revenue,FINANCE,REBATES AND INCENTIVES,-72.36742
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,DEMOLITION,-67.70367
2022,Revenue,FINANCE,MUNICIPAL PENSION PLAN,-64.8553
2022,Revenue,FINANCE,POLICE PENSION PLAN,-64.8553
2022,Revenue,FINANCE,FIRE PENSION PLAN,-64.03113
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,SIGN MAINT CERTIFICATION,-63.77775
2022,Revenue,PS - FIRE BUREAU,SAFETY INSPECTIONS,-63.77508
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,HVAC/MECHANICAL TRADE,-62.51768
2022,Revenue,PW - ENVIRONMENTAL SERVICES,"REFUSE- DUMPSTER, PERMANENT",-57.68953
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,AMUSEMENT PLACE,-56.00414
2022,Revenue,CITY PLANNING,PLANNING COMMISSION FEES,-55.242
2022,Revenue,PARKS AND RECREATION,SUMMER FOOD PROGRAM,-55
2022,Revenue,FINANCE,LIBRARY TAX ADMIN FEES,-49.42143
2022,Revenue,PW - BUREAU OF FACILITIES,ALLEGHENY REGIONAL ASSET DISTR,-48.56391
2022,Revenue,FINANCE,INTERGOVEN  REVENUE - STATE,-47.54458
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,MECH DEVICE-NON GAMBLING,-44.88719
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,ELECTRICAL TRADE,-43.2973
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,LAND OPER PERMIT,-41.9853
2022,Revenue,FINANCE,PROJECT FUND TRANSFER,-38.83966
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET EXCAVATION-POLE PERMITS,-38.08118
2022,Revenue,CITY PLANNING,LOT SUBDIVISION/CONSOLIDATION,-36.82647
2022,Revenue,CITY PLANNING,ZONING FEES-HISTORICAL REVIEW,-32.88973
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,ADMINISTRATOR EXCEPTION,-31.10651
2022,Revenue,PW - BUREAU OF ADMINISTRATION,ALLEGHENY REGIONAL ASSET DISTR,-30.69503
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,MECH DEVICE-GAMBLING,-29.2399
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,PARKING LOT LICENSE,-29.02763
2022,Revenue,MOBILITY AND INFRASTRUCTURE,ENCROACHMENTS,-28.1325
2022,Revenue,OFFICE OF MANAGEMENT AND BUDGET,ALLEGHENY REGIONAL ASSET DISTR,-27.23064
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,MECH DEVICE-JUKE BOX,-25.93305
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,BOARD OF APPEALS,-25.73111
2022,Revenue,PW - ENVIRONMENTAL SERVICES,"REFUSE- DUMPSTER, TEMPORARY",-25.55198
2022,Revenue,MOBILITY AND INFRASTRUCTURE,ENCROACHMENTS-PERMANENT BRIDGE,-23.70056
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,DOCUMENT COPIES & RECORDS,-23.02
2022,Revenue,CITY PLANNING,ZONING FEES-COMMUNICATION EQUI,-21.3
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,SCAFFOLD,-21.19145
2022,Revenue,FINANCE,WHARVES,-20.76
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,LICENSE/PERMIT PENALTY FEE,-20.705
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,OCCUPANCY LOAD PLACARD,-19.81359
2022,Revenue,PARKS AND RECREATION,SPECIAL PARKS PROGRAM,-19.39039
2022,Revenue,FINANCE,P/I- PARKING TAX,-19.28784
2022,Revenue,PS - FIRE BUREAU,BURGLAR ALARMS,-15.64167
2022,Revenue,HUMAN RESOURCES/CIVIL SERVICE,ALLEGHENY REGIONAL ASSET DISTR,-15.04976
2022,Revenue,FINANCE,FOREFITURES - MONIES,-13.91741
2022,Revenue,FINANCE,P/I- AMUSEMENT TAX,-11.62395
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,PEDDLER LICENSE,-11.56425
2022,Revenue,FINANCE,VENDING MACHINE COMMISSION,-11.23296
2022,Revenue,MOBILITY AND INFRASTRUCTURE,VALET LICENSE,-11.20185
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,PARKING PLACE INSIGNIAS,-9.87834
2022,Revenue,MAYOR'S OFFICE,ALLEGHENY REGIONAL ASSET DISTR,-7.81803
2022,Revenue,PW - BUREAU OF PW OPERATIONS,PUBLIC WORKS,-7.37372
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,MECH DEVICE-POOL TABLE,-7.33368
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,PARADE,-7.158
2022,Revenue,PW - ENVIRONMENTAL SERVICES,ALLEGHENY REGIONAL ASSET DISTR,-7.11635
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET VACATION,-6.12777
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,AMUSEMENT PRODUCER,-5.95
2022,Revenue,PW - BUREAU OF PW OPERATIONS,MISCELLANEOUS,-5.59457
2022,Revenue,PARKS AND RECREATION,MEETING ROOMS,-5.55927
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,VENDOR LICENSE,-5.04953
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,SIGN CONT LICENSE,-4.34647
2022,Revenue,CITY PLANNING,TEMPORARY OCCUPANCY,-3.84597
2022,Revenue,CITY PLANNING,ZONING FEES-CHANGE OF ZONE,-3.8
2022,Revenue,FINANCE,RETURNED CHECK FEE,-3.78164
2022,Revenue,PS - FIRE BUREAU,FIRE RECORDS,-3.30859
2022,Revenue,FINANCE,SALE OF SCRAP,-2.67126
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,FIRE SUPPRESSION TRADE,-2.60788
2022,Revenue,FINANCE,PROCEEDS FROM LOBBYIST REGISTR,-2.3
2022,Revenue,FINANCE,EIT- PRIOR YEAR,-2.27423
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,SECONDHAND DEALER,-2.10738
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,MOBILE VEH VENDOR,-1.81762
2022,Revenue,FINANCE,P/I - EIT,-1.56313
2022,Revenue,PS - FIRE BUREAU,HAZMAT PERMITS,-1.47727
2022,Revenue,FINANCE,P/I-PGH40 TAX,-1.38114
2022,Revenue,FINANCE,P/I- INSITUTION AND SERVICE PR,-1.17017
2022,Revenue,FINANCE,EIT-SCHOOL SUBSIDY,-1.07829
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,ADDITIONAL EMPLOYEE,-0.89564
2022,Revenue,PS - FIRE BUREAU,HAZMAT/STORAGE LICENSE,-0.69104
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,PAWN BROKER LICENSE,-0.375
2022,Revenue,FINANCE,ISPT- PRIOR YEAR,-0.28076
2022,Expenditure,CITY CLERK,POSTAGE,0.05
2022,Expenditure,CITY CLERK,FREIGHT,0.1
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,POSTAGE,0.1
2022,Expenditure,HUMAN RELATIONS COMM.,REGULATORY,0.15
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,FREIGHT,0.15
2022,Expenditure,ETHICS BOARD,REGULATORY,0.25
2022,Expenditure,LAW,POSTAGE,0.3
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,ADMINISTRATIVE FEES,0.35
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,CLEANING,0.4
2022,Expenditure,HUMAN RELATIONS COMM.,COMPUTER MAINTANACE,0.42
2022,Expenditure,ETHICS BOARD,OTHER INSUR/BENEFITS,0.48794
2022,Expenditure,MAYOR'S OFFICE,ADMINISTRATIVE FEES,0.5
2022,Expenditure,ETHICS BOARD,PERSONAL LEAVE BUYBACK,0.5
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,TRANSPORTATION,0.5
2022,Expenditure,PS - FIRE BUREAU,TRANSPORTATION,0.5
2022,Expenditure,PARKS AND RECREATION,DISPOSAL - REFUSE,0.5
2022,Expenditure,PARKS AND RECREATION,PROMOTIONAL,0.5
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,REGULATORY,0.5
2022,Expenditure,CIVILIAN REVIEW BOARD,REGULATORY,0.5
2022,Expenditure,LAW,PREMIUM PAY,0.5889
2022,Expenditure,HUMAN RELATIONS COMM.,ADMINISTRATIVE FEES,0.6
2022,Expenditure,FINANCE,PROTECTIVE / INVESTIGATION,0.6
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,PREMIUM PAY,0.60027
2022,Expenditure,HUMAN RELATIONS COMM.,TRANSPORTATION,0.75
2022,Expenditure,HUMAN RELATIONS COMM.,OPERATIONAL SUPPLIES,0.75
2022,Expenditure,CITY CONTROLLER,CLEANING,0.75
2022,Expenditure,CITY PLANNING,EMPLOYMENT RELATED,0.75
2022,Expenditure,ETHICS BOARD,OFFICE SUPPLIES,0.775
2022,Expenditure,ETHICS BOARD,ADMINISTRATIVE FEES,0.88
2022,Expenditure,LAW,REGULATORY,0.9
2022,Expenditure,CITY CLERK,PROTECTIVE / INVESTIGATION,1
2022,Expenditure,CITY CLERK,PRINTING & BINDING,1
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,OFFICE SUPPLIES,1
2022,Expenditure,FINANCE,MATERIALS,1
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,TRANSPORTATION,1
2022,Expenditure,CITY PLANNING,CLEANING,1
2022,Expenditure,CITY PLANNING,PRINTING & BINDING,1
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,EMPLOYMENT RELATED,1
2022,Expenditure,PS - EMERGENCY MED SERVICES,ADMINISTRATIVE FEES,1
2022,Expenditure,PS - POLICE BUREAU,DISPOSAL - REFUSE,1
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,ADMINISTRATIVE FEES,1
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,OPERATIONAL SUPPLIES,1
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,TRANSPORTATION,1
2022,Expenditure,PARKS AND RECREATION,LANDSCAPING,1
2022,Expenditure,FINANCE,LAND & BUILDINGS,1.2
2022,Expenditure,PS - EMERGENCY MED SERVICES,TELEPHONE,1.2
2022,Expenditure,HUMAN RELATIONS COMM.,PROMOTIONAL,1.5
2022,Expenditure,PS - FIRE BUREAU,ADMINISTRATIVE FEES,1.5
2022,Expenditure,OFFICE OF IMMIGRANT AND REFUGEE AFFAIRS,OTHER INSUR/BENEFITS,1.54128
2022,Expenditure,CITY CLERK,CLEANING,1.6
2022,Expenditure,CITY CLERK,PROMOTIONAL,1.7
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,WORKERS COMP - FEES,1.701
2022,Expenditure,MAYOR'S OFFICE,MEDICAL - W/C,1.741
2022,Expenditure,CITY PLANNING,REGULATORY,1.75
2022,Expenditure,PS - POLICE BUREAU,MAINTENANCE,1.75
2022,Expenditure,HUMAN RELATIONS COMM.,RECORDING / FILLING FEES,1.8
2022,Expenditure,ETHICS BOARD,OPERATIONAL SUPPLIES,1.825
2022,Expenditure,ETHICS BOARD,TRANSPORTATION,1.944
2022,Expenditure,CITY CLERK,TUITION REIMBURSEMENT,2
2022,Expenditure,INNOVATION & PERFORMANCE,MATERIALS,2
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,REGULATORY,2
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,TRANSPORTATION,2
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,JUDGEMENTS,2
2022,Expenditure,CIVILIAN REVIEW BOARD,RECORDING / FILLING FEES,2
2022,Expenditure,CIVILIAN REVIEW BOARD,PROFESSIONAL SERVICES - CONVER,2
2022,Expenditure,HUMAN RELATIONS COMM.,OFFICE SUPPLIES,2.05
2022,Expenditure,CIVILIAN REVIEW BOARD,CLEANING,2.1
2022,Expenditure,CITY CONTROLLER,MAINTENANCE,2.25
2022,Expenditure,OFFICE OF EQUITY,OFFICE SUPPLIES,2.3
2022,Expenditure,CITY CLERK,REGULATORY,2.5
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,REGULATORY,2.5
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,PROMOTIONAL,2.5
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,WORKERS COMP - FEES,2.652
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,MEDICAL - W/C,2.752
2022,Expenditure,INNOVATION & PERFORMANCE,VEHICLES,3
2022,Expenditure,FINANCE,RECORDING / FILLING FEES,3
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,ADMINISTRATIVE FEES,3
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,WORKFORCE TRAINING,3
2022,Expenditure,PW - BUREAU OF FACILITIES,REPAIRS,3
2022,Expenditure,PARKS AND RECREATION,TELEPHONE,3
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,MCHINERY & EQUIPMENTS,3
2022,Expenditure,ETHICS BOARD,COURT RELATED FEES,3.1
2022,Expenditure,CITY PLANNING,PROMOTIONAL,3.144
2022,Expenditure,HUMAN RELATIONS COMM.,WORKFORCE TRAINING,3.338
2022,Expenditure,CITY CLERK,PER DIEM,3.41
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,MATERIALS,3.5
2022,Expenditure,ETHICS BOARD,RECORDING / FILLING FEES,3.525
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,MEDICAL - W/C,3.645
2022,Expenditure,CITY CONTROLLER,FURNITURE AND FIXTURES,3.82
2022,Expenditure,INNOVATION & PERFORMANCE,RECORDING / FILLING FEES,4
2022,Expenditure,CIVILIAN REVIEW BOARD,OFFICE SUPPLIES,4
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,RECORDING / FILLING FEES,4.1
2022,Expenditure,ETHICS BOARD,HEALTH INSURANCE,4.10304
2022,Expenditure,OFFICE OF IMMIGRANT AND REFUGEE AFFAIRS,SOCIAL SECURITY,4.20767
2022,Expenditure,ETHICS BOARD,WORKFORCE TRAINING,4.33
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,MAINTENANCE - MISC,4.5
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,RECORDING / FILLING FEES,4.5
2022,Expenditure,CITY PLANNING,PREMIUM PAY,4.80079
2022,Expenditure,OFFICE OF EQUITY,OPERATIONAL SUPPLIES,5
2022,Expenditure,FINANCE,RETIRED EMS,5
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,RECORDING / FILLING FEES,5
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PRINTING & BINDING,5
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,ADMINISTRATIVE FEES,5
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,CLEANING,5
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,PROMOTIONAL,5
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,PRINTING & BINDING,5
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,MACHINERY AND EQUIPMENT,5
2022,Expenditure,PS - EMERGENCY MED SERVICES,WORKFORCE TRAINING,5
2022,Expenditure,PS - EMERGENCY MED SERVICES,MATERIALS,5
2022,Expenditure,PS - POLICE BUREAU,BUILDING - GENERAL,5
2022,Expenditure,PS - FIRE BUREAU,CLEANING,5
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,ALLOWANCES,5
2022,Expenditure,PARKS AND RECREATION,ADMINISTRATIVE FEES,5
2022,Expenditure,PARKS AND RECREATION,WORKFORCE TRAINING,5
2022,Expenditure,PARKS AND RECREATION,PRINTING & BINDING,5
2022,Expenditure,PARKS AND RECREATION,TRANSPORTATION,5
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,TUITION REIMBURSEMENT,5.1
2022,Expenditure,FINANCE,CLEANING,5.2
2022,Expenditure,CIVILIAN REVIEW BOARD,PROMOTIONAL,5.2
2022,Expenditure,PS - EMERGENCY MED SERVICES,CLEANING,5.5
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,OPERATIONAL SUPPLIES,5.5
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,ADMINISTRATIVE FEES,5.6
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,LONGEVITY,5.75
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,WORKFORCE TRAINING,6
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,OFFICE SUPPLIES,6
2022,Expenditure,PARKS AND RECREATION,VEHICLES,6
2022,Expenditure,LAW,ADMINISTRATIVE FEES,6.4
2022,Expenditure,CITY CONTROLLER,OFFICE EQUIPMENT,6.5
2022,Expenditure,PW - BUREAU OF FACILITIES,MEDICAL - W/C,6.925
2022,Expenditure,CITY CLERK,TRANSPORTATION,7
2022,Expenditure,CITY CLERK,LODGING,7
2022,Expenditure,INNOVATION & PERFORMANCE,PROTECTIVE / INVESTIGATION,7
2022,Expenditure,HUMAN RELATIONS COMM.,PERSONAL LEAVE BUYBACK,7
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,COMPUTER MAINTANACE,7
2022,Expenditure,PS - EMERGENCY MED SERVICES,ALLOWANCES,7
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,PREMIUM PAY,7.331
2022,Expenditure,FINANCE,WORKFORCE TRAINING,7.5
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,WORKFORCE TRAINING,7.5
2022,Expenditure,CIVILIAN REVIEW BOARD,ADMINISTRATIVE FEES,7.5
2022,Expenditure,CITY CONTROLLER,OPERATIONAL SUPPLIES,7.636
2022,Expenditure,ETHICS BOARD,SOCIAL SECURITY,7.7556
2022,Expenditure,MAYOR'S OFFICE,PRINTING & BINDING,8
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,OFFICE SUPPLIES,8
2022,Expenditure,LAW,OFFICE SUPPLIES,8
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,PERSONAL LEAVE BUYBACK,8
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,OFFICE SUPPLIES,8
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,OPERATIONAL SUPPLIES,8.14
2022,Expenditure,HUMAN RELATIONS COMM.,OTHER INSUR/BENEFITS,8.20923
2022,Expenditure,CIVILIAN REVIEW BOARD,WORKFORCE TRAINING,8.4
2022,Expenditure,MAYOR'S OFFICE,OFFICE SUPPLIES,8.5
2022,Expenditure,CITY CONTROLLER,MEDICAL - W/C,8.848
2022,Expenditure,CITY CLERK,MACHINERY AND EQUIPMENT,9
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,MACHINERY AND EQUIPMENT,9
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,MATERIALS,9
2022,Expenditure,CITY CLERK,OPERATIONAL SUPPLIES,9.3
2022,Expenditure,CITY CONTROLLER,OFFICE SUPPLIES,9.44
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,MAINTENANCE - MISC,9.8
2022,Expenditure,CITY CLERK,OFFICE EQUIPMENT,10
2022,Expenditure,MAYOR'S OFFICE,TUITION REIMBURSEMENT,10
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,MATERIALS,10
2022,Expenditure,FINANCE,TRANSPORTATION,10
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PROTECTIVE / INVESTIGATION,10
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,TUITION REIMBURSEMENT,10
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,OFFICE SUPPLIES,10
2022,Expenditure,PS - POLICE BUREAU,TUITION REIMBURSEMENT,10
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,LEGAL FEES,10
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,LONGEVITY,10
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,TUITION REIMBURSEMENT,10
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,OTHER INSUR/BENEFITS,10.0747
2022,Expenditure,CIVILIAN REVIEW BOARD,OTHER INSUR/BENEFITS,10.47394
2022,Expenditure,CITY CLERK,WORKFORCE TRAINING,10.5
